Rank,Title,Description,Runtime,Genre,Rating,Votes,Director,Actor
38.0,Luca,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",95,Animation,7.4,176165,Enrico Casarosa,Jacob Tremblay
39.0,The Many Saints of Newark,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",120,Crime,6.3,58536,Alan Taylor,Alessandro Nivola
40.0,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",148,Action,5.8,179399,Zack Snyder,Dave Bautista
41.0,Verdens verste menneske,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",128,Comedy,7.8,81787,Joachim Trier,Renate Reinsve
42.0,Cruella,A live-action prequel feature film following a young Cruella de Vil.,134,Adventure,7.3,247077,Craig Gillespie,Emma Stone
43.0,Gunpowder Milkshake,Three generations of women fight back against those who could take everything from them.,114,Action,6.1,48156,Navot Papushado,Karen Gillan
44.0,The Tomorrow War,A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.,138,Action,6.5,216178,Chris McKay,Chris Pratt
45.0,Don't Breathe 2,"The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom lives in quiet solace until his past sins catch up to him.",98,Action,6.0,64978,Rodo Sayagues,Stephen Lang
46.0,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",111,Crime,6.2,99534,James Wan,Annabelle Wallis
47.0,The Power of the Dog,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",126,Drama,6.8,184121,Jane Campion,Benedict Cumberbatch
48.0,The Hating Game,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",102,Comedy,6.2,21063,Peter Hutchings,Lucy Hale
49.0,The Little Things,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",128,Crime,6.3,112512,John Lee Hancock,Denzel Washington
50.0,Godzilla vs. Kong,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,113,Action,6.3,221797,Adam Wingard,Alexander Skarsgård
